aX,aY,aZ,gX,gY,gZ
0.841,0.092,2.145,-32.471,231.812,-22.644
0.990,0.169,2.401,-38.818,223.328,-25.574
1.224,0.237,2.681,-44.983,213.318,-31.128
1.447,0.226,2.724,-47.607,203.552,-34.058
1.326,0.265,3.076,-60.181,138.611,-42.786
1.332,0.334,3.149,-67.261,120.789,-38.391
1.387,0.346,3.006,-69.580,128.967,-32.715
1.223,0.293,3.238,-71.960,94.849,-33.691
1.263,0.210,3.180,-67.810,91.125,-32.959
1.273,0.138,3.078,-62.317,85.693,-28.687
1.209,0.068,3.031,-59.814,56.396,-24.170
1.118,-0.026,2.971,-56.213,28.137,-21.851
1.047,-0.097,2.886,-50.720,6.531,-19.287
0.947,-0.174,2.798,-44.373,-19.775,-14.343
0.854,-0.261,2.648,-42.053,-46.570,-12.390
0.731,-0.305,2.485,-43.396,-69.519,-15.015
0.600,-0.345,2.336,-41.931,-89.355,-16.418
0.512,-0.433,2.174,-36.194,-104.492,-13.977
0.437,-0.475,1.995,-30.029,-112.976,-10.254
0.353,-0.504,1.834,-25.818,-114.990,-8.362
0.362,-0.544,1.701,-23.682,-108.459,-5.737
0.289,-0.566,1.586,-27.344,-99.731,-2.380
0.149,-0.637,1.510,-38.574,-85.754,-1.831
0.030,-0.701,1.490,-52.673,-68.298,-1.648
-0.015,-0.811,1.526,-59.570,-50.415,-1.831
-0.034,-0.943,1.580,-53.101,-38.818,-8.240
-0.075,-1.033,1.633,-34.424,-40.161,-23.193
-0.104,-1.205,1.692,-5.493,-52.979,-42.969
-0.159,-1.335,1.763,25.757,-72.876,-69.031
-0.219,-1.304,1.796,49.683,-94.604,-97.961
-0.232,-1.263,1.737,62.439,-112.610,-123.596
-0.249,-1.185,1.656,68.359,-124.390,-142.517
-0.245,-1.108,1.535,73.303,-130.066,-152.405
-0.164,-1.084,1.399,79.956,-130.371,-151.978
-0.071,-1.075,1.303,83.679,-129.211,-141.235
-0.046,-1.087,1.234,78.552,-125.488,-123.840
0.019,-1.202,1.324,59.448,-110.596,-105.957
0.156,-1.425,1.386,13.977,-78.247,-91.492
0.182,-1.360,1.299,-51.941,-37.903,-87.769
0.282,-1.027,0.984,-116.333,-0.305,-103.760
0.200,-0.635,0.463,-143.005,22.522,-123.413
0.087,-0.338,0.033,-115.112,9.399,-136.841
0.251,-0.131,-0.213,-54.138,-36.743,-141.296
0.517,0.160,-0.404,10.437,-84.351,-132.629
0.710,0.405,-0.551,44.006,-106.445,-117.126
0.818,0.526,-0.622,30.884,-97.473,-99.548
0.779,0.525,-0.599,-4.578,-74.219,-79.712
0.836,0.628,-0.290,-44.739,-25.452,-52.490
0.940,0.656,0.053,-92.651,26.245,-30.945
0.901,0.668,0.172,-136.536,66.101,-21.667
0.777,0.832,0.036,-151.184,73.486,-31.067
0.805,1.087,-0.164,-129.883,51.270,-61.462
0.856,1.400,-0.178,-83.984,24.353,-96.619
0.880,1.611,-0.039,-42.664,8.850,-115.417
0.769,1.675,0.039,-30.945,13.428,-104.797
0.550,1.612,0.133,-45.715,31.616,-75.012
0.325,1.462,0.112,-70.068,68.176,-37.903
0.151,1.293,0.060,-88.196,113.831,-3.479
0.005,1.147,0.051,-99.854,151.428,20.996
0.040,0.992,0.203,-113.708,174.683,31.677
-0.049,0.777,0.397,-115.479,160.461,29.846
-0.105,0.555,0.509,-96.252,106.995,20.081
-0.130,0.384,0.551,-61.340,33.752,4.578
-0.112,0.314,0.529,-29.297,-27.893,-10.010
-0.086,0.251,0.442,-7.324,-64.331,-21.057
-0.026,0.141,0.347,7.935,-73.792,-26.184
-0.116,0.117,0.380,16.602,-61.035,-22.400
-0.246,0.148,0.434,10.315,-31.982,-15.076
-0.358,0.136,0.478,-7.324,3.296,-7.874
-0.376,0.171,0.499,-28.137,40.466,1.099
-0.280,0.230,0.509,-46.204,77.393,13.733
-0.099,0.188,0.600,-57.434,104.553,29.419
0.053,0.106,0.792,-62.500,123.108,43.335
0.120,0.077,0.931,-60.547,134.399,45.654
0.192,0.020,0.995,-51.880,133.606,34.546
0.200,0.036,1.045,-37.720,114.441,19.836
0.208,0.108,1.089,-18.921,80.811,11.963
0.243,0.157,1.062,0.244,41.687,10.925
0.265,0.139,0.997,13.855,9.949,13.855
0.231,0.084,0.980,20.508,-10.986,18.799
0.175,0.022,0.975,22.217,-26.672,24.170
0.171,0.003,0.943,23.315,-37.659,26.855

0.250,-0.478,0.810,-6.104,-10.742,6.836
0.286,-0.495,0.773,-7.690,-11.963,8.728
0.321,-0.518,0.733,-8.240,-14.099,10.681
0.365,-0.561,0.683,-8.545,-16.785,12.695
0.402,-0.609,0.619,-8.850,-20.508,14.099
0.422,-0.650,0.563,-10.071,-24.414,14.648
0.422,-0.667,0.505,-12.634,-28.625,13.245
0.417,-0.668,0.453,-14.038,-33.875,10.559
0.430,-0.665,0.392,-12.451,-39.551,8.240
0.453,-0.687,0.323,-8.057,-44.312,7.629
0.454,-0.700,0.254,-4.395,-48.401,8.606
0.442,-0.702,0.183,-1.465,-51.086,10.620
0.426,-0.707,0.091,1.099,-52.979,12.573
0.403,-0.719,0.001,4.822,-54.565,14.709
0.386,-0.747,-0.081,11.902,-55.603,16.541
0.380,-0.755,-0.145,22.827,-54.443,18.188
0.375,-0.766,-0.182,35.339,-51.331,19.897
0.379,-0.786,-0.227,45.471,-46.387,19.592
0.407,-0.794,-0.269,49.316,-38.635,17.273
0.356,-0.802,-0.300,46.997,-28.442,16.479
0.297,-0.814,-0.326,41.321,-16.174,16.357
0.258,-0.819,-0.310,38.757,-3.418,17.700
0.169,-0.826,-0.313,36.133,8.972,17.761
0.116,-0.830,-0.329,35.583,23.315,12.207
0.035,-0.800,-0.294,36.926,36.499,4.089
-0.006,-0.761,-0.238,38.879,53.223,-5.249
-0.002,-0.703,-0.139,41.016,69.336,-15.137
0.028,-0.630,0.008,43.030,82.153,-21.423
0.058,-0.562,0.151,42.542,93.567,-24.780
0.089,-0.429,0.284,37.354,102.478,-28.198
0.114,-0.212,0.430,30.762,108.704,-30.823
0.110,-0.049,0.615,27.466,112.305,-31.616
0.083,0.093,0.857,26.184,117.981,-29.602
0.062,0.215,1.169,21.057,130.188,-28.015
0.117,0.302,1.494,10.925,145.203,-27.344
0.222,0.422,1.778,1.831,157.715,-25.330
0.465,0.580,2.072,-0.854,164.917,-22.095
0.553,0.631,2.393,0.671,161.926,-16.418
0.480,0.616,2.699,-3.723,152.161,-9.094
0.739,0.614,2.694,-16.785,158.447,-0.488
0.636,0.650,2.961,-41.382,118.469,-2.014
0.540,0.685,3.011,-55.359,93.384,-0.244
0.613,0.589,2.892,-54.565,94.299,2.563
0.694,0.563,2.737,-53.223,91.187,4.333
0.778,0.628,2.634,-54.077,69.275,5.371
0.889,0.580,2.544,-44.739,45.776,9.766
0.962,0.376,2.502,-27.649,20.691,17.456
0.952,0.275,2.499,-12.817,-7.202,22.888
0.842,0.099,2.529,-2.197,-32.959,22.034
