aX,aY,aZ,gX,gY,gZ
0.521,-0.903,0.565,-57.861,-271.362,-86.548
0.531,-0.790,0.200,-71.777,-263.733,-77.087
0.528,-0.697,-0.202,-80.017,-244.995,-64.758
0.431,-0.529,-0.582,-78.491,-218.201,-51.147
0.354,-0.398,-0.830,-65.979,-190.857,-40.100
0.328,-0.331,-0.922,-43.030,-166.504,-32.104
0.370,-0.313,-0.948,-18.005,-144.470,-24.414
0.443,-0.327,-1.006,-2.930,-122.864,-14.221
0.545,-0.256,-1.125,-2.808,-103.638,1.526
0.663,-0.214,-1.306,-16.968,-91.675,18.311
0.703,-0.370,-1.490,-40.161,-84.839,33.997
0.698,-0.568,-1.667,-64.697,-78.918,42.358
0.819,-0.554,-2.013,-77.759,-70.984,37.231
0.872,-0.561,-2.336,-68.542,-70.007,19.653
0.888,-0.528,-2.554,-35.828,-67.505,-3.906
0.870,-0.546,-2.781,1.526,-56.213,-35.461
0.813,-0.709,-2.839,35.583,-34.973,-68.542
0.785,-0.824,-2.754,62.378,1.282,-85.083
0.797,-0.909,-2.635,75.806,46.143,-89.111
0.778,-1.013,-2.453,82.031,86.060,-86.670
0.738,-1.168,-2.209,84.534,117.554,-79.468
0.596,-1.448,-2.014,77.026,143.555,-70.129
0.328,-1.816,-1.893,55.664,165.588,-60.852
0.074,-2.244,-1.805,24.353,188.416,-56.335
-0.198,-2.654,-1.621,-9.338,214.417,-60.791
-0.474,-3.042,-1.410,-39.368,241.455,-77.026
-0.555,-3.298,-1.418,-67.749,266.418,-106.262
-0.370,-3.400,-1.635,-87.830,285.583,-145.142
0.256,-3.114,-1.896,-92.957,296.692,-188.110
1.185,-2.494,-1.849,-86.121,309.998,-231.018
2.045,-1.735,-1.314,-75.806,334.839,-268.738
2.952,-0.813,-0.448,-73.364,368.042,-289.978
3.836,0.287,0.592,-81.177,397.522,-288.025
4.000,1.343,1.541,-85.144,407.898,-268.127
4.000,2.042,2.302,-78.613,389.099,-234.253
4.000,2.492,2.830,-65.613,349.243,-182.068
4.000,2.639,3.347,-57.495,295.227,-122.498
4.000,2.787,3.841,-62.378,251.465,-88.013
